application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
1482,Male,False,3.37,Humanities,Other,700.0,4.0,Technology,Admit
1309,Male,True,3.51,STEM,,710.0,5.0,Other,Reject
4133,Female,False,3.41,Humanities,White,780.0,5.0,PE/VC,Admit
4724,Female,False,3.55,Humanities,White,710.0,5.0,Other,Admit
1920,Female,False,3.55,STEM,White,680.0,5.0,Consulting,Admit
413,Female,False,3.18,Humanities,Asian,630.0,4.0,PE/VC,Admit
756,Female,False,3.45,Business,Asian,700.0,5.0,Other,Admit
292,Female,True,2.99,Humanities,,630.0,6.0,Nonprofit/Gov,Admit
5556,Male,True,3.06,Business,,590.0,5.0,Consulting,Reject
3882,Female,False,3.27,Humanities,Black,590.0,4.0,PE/VC,Reject
1221,Male,False,3.24,STEM,White,640.0,5.0,Nonprofit/Gov,Reject
1338,Male,False,3.37,Business,Asian,720.0,4.0,Technology,Admit
5073,Female,False,3.23,Business,Black,650.0,4.0,PE/VC,Reject
1397,Male,True,3.25,Business,,630.0,6.0,Technology,Reject
4255,Female,False,3.23,Humanities,Asian,650.0,5.0,Other,Reject
1142,Female,True,3.29,Humanities,,690.0,5.0,PE/VC,Admit
5789,Female,False,3.25,Humanities,Black,680.0,5.0,Consulting,Admit
2321,Female,False,3.19,Humanities,Other,650.0,6.0,Technology,Reject
723,Male,True,3.29,Business,,590.0,5.0,Nonprofit/Gov,Reject
469,Female,False,3.36,Humanities,Asian,670.0,4.0,Other,Admit
674,Male,False,3.42,Business,Other,690.0,5.0,PE/VC,Admit
5085,Male,False,3.48,Humanities,Other,750.0,4.0,Investment Banking,Admit
2168,Female,True,3.15,Business,,640.0,6.0,Other,Reject
915,Female,False,3.21,STEM,Black,690.0,5.0,Nonprofit/Gov,Admit
1793,Male,False,3.29,Business,Black,700.0,5.0,Consulting,Admit
4794,Male,False,3.43,STEM,White,680.0,5.0,Investment Banking,Admit
3097,Male,True,3.55,Business,,680.0,4.0,Financial Services,Admit
2873,Male,False,3.34,Humanities,White,660.0,5.0,Health Care,Reject
2776,Male,True,3.39,Humanities,,730.0,5.0,Consulting,Admit
540,Male,False,3.42,STEM,Asian,710.0,5.0,Other,Admit
1552,Female,False,3.31,Humanities,White,660.0,5.0,Technology,Admit
5596,Male,False,3.32,Humanities,Asian,690.0,5.0,Consulting,Admit
1547,Male,False,3.45,STEM,White,680.0,6.0,Investment Banking,Admit
4642,Male,False,3.41,Business,Asian,730.0,5.0,PE/VC,Admit
2672,Male,False,3.31,STEM,Asian,670.0,4.0,Consulting,Admit
2024,Male,False,3.26,STEM,White,700.0,6.0,Health Care,Admit
4210,Male,True,3.26,Humanities,,630.0,4.0,Technology,Reject
1501,Male,False,3.12,Business,Asian,590.0,4.0,Health Care,Reject
948,Male,False,3.37,Humanities,Hispanic,640.0,7.0,CPG,Reject
1951,Male,True,3.23,STEM,,570.0,6.0,Technology,Reject
94,Female,False,3.23,Humanities,White,620.0,7.0,Nonprofit/Gov,Admit
3407,Male,False,3.43,Humanities,Hispanic,760.0,7.0,Consulting,Reject
604,Female,False,3.31,STEM,Black,720.0,7.0,Technology,Admit
641,Female,True,3.14,Business,,590.0,5.0,PE/VC,Admit
3962,Male,False,3.35,STEM,Hispanic,690.0,6.0,PE/VC,Admit
1449,Female,False,3.29,Humanities,White,690.0,5.0,Technology,Admit
3021,Male,False,3.34,STEM,White,710.0,5.0,PE/VC,Admit
2414,Male,False,3.28,Humanities,White,690.0,5.0,Investment Banking,Admit
4163,Male,False,3.27,Humanities,Asian,660.0,3.0,PE/VC,Reject
5289,Male,False,3.44,Business,Black,760.0,5.0,Consulting,Admit
5194,Male,True,3.24,Business,,740.0,4.0,Consulting,Admit
689,Male,True,3.15,Business,,640.0,6.0,Consulting,Reject
515,Male,False,3.17,Business,Other,610.0,4.0,Consulting,Reject
522,Male,True,3.08,Business,,690.0,6.0,Technology,Reject
2305,Male,True,2.89,STEM,,610.0,6.0,Financial Services,Reject
654,Female,True,3.23,Business,,640.0,4.0,Consulting,Admit
4373,Male,False,3.28,STEM,Asian,620.0,4.0,Consulting,Reject
1039,Male,False,3.21,Humanities,Asian,710.0,5.0,Technology,Admit
2812,Male,True,3.26,Business,,620.0,5.0,PE/VC,Reject
1805,Male,False,2.99,Humanities,White,570.0,5.0,Financial Services,Reject
6151,Female,False,3.46,Business,Asian,680.0,5.0,Investment Banking,Admit
990,Female,False,3.2,Humanities,Other,660.0,6.0,PE/VC,Admit
4228,Male,False,3.29,Business,Asian,610.0,4.0,Consulting,Reject
3456,Male,True,3.34,STEM,,700.0,6.0,Nonprofit/Gov,Reject
3144,Male,False,3.29,Humanities,Asian,700.0,5.0,PE/VC,Admit
1935,Male,True,3.17,STEM,,590.0,6.0,Consulting,Reject
1465,Female,True,2.96,STEM,,600.0,5.0,Financial Services,Reject
4301,Male,False,3.21,Business,Asian,680.0,5.0,Consulting,Admit
3362,Male,True,3.48,Business,,660.0,6.0,Technology,Admit
2436,Male,False,3.43,Humanities,Hispanic,690.0,6.0,Investment Banking,Admit
4507,Female,False,2.91,STEM,White,610.0,6.0,Technology,Reject
1699,Male,False,3.26,STEM,White,690.0,5.0,Consulting,Admit
529,Female,False,3.42,Humanities,Other,760.0,5.0,Other,Admit
5804,Male,False,3.39,Humanities,Hispanic,720.0,5.0,PE/VC,Admit
1068,Male,False,3.11,Humanities,Asian,590.0,4.0,Consulting,Reject
5801,Male,False,3.28,Humanities,Asian,700.0,6.0,Consulting,Admit
1690,Female,False,3.14,Humanities,Hispanic,610.0,6.0,Investment Management,Reject
2027,Female,False,3.42,Business,Black,730.0,4.0,CPG,Admit
414,Male,False,3.52,Business,Asian,730.0,6.0,PE/VC,Admit
731,Male,False,3.22,Humanities,White,600.0,5.0,Technology,Reject
1324,Female,False,3.26,STEM,Black,710.0,5.0,Technology,Admit
6027,Female,False,3.47,Humanities,Black,780.0,5.0,Consulting,Admit
2715,Male,False,3.21,Business,White,670.0,5.0,Other,Admit
1290,Male,False,3.19,STEM,Hispanic,690.0,5.0,Consulting,Reject
4017,Female,False,3.2,STEM,Black,620.0,6.0,Technology,Reject
1697,Female,False,3.43,Humanities,Asian,690.0,5.0,Investment Management,Admit
5774,Male,False,3.21,Business,Black,680.0,4.0,PE/VC,Admit
4265,Male,False,3.39,Business,Black,720.0,4.0,Investment Banking,Admit
1358,Male,True,3.45,Humanities,,720.0,5.0,PE/VC,Admit
474,Female,False,3.34,STEM,Other,680.0,5.0,Technology,Admit
3148,Male,True,3.37,STEM,,760.0,4.0,Other,Reject
201,Male,False,3.61,Business,Hispanic,690.0,5.0,Technology,Admit
4073,Female,False,3.35,Humanities,White,710.0,3.0,Nonprofit/Gov,Admit
5841,Male,False,2.98,Humanities,Hispanic,590.0,6.0,Nonprofit/Gov,Reject
4495,Male,False,3.54,Business,Hispanic,620.0,5.0,Investment Management,Reject
2218,Female,False,3.31,Humanities,Asian,630.0,4.0,Technology,Reject
2421,Male,False,3.39,Humanities,Black,700.0,5.0,Financial Services,Admit
4629,Female,False,3.05,Humanities,White,610.0,4.0,Technology,Reject
1970,Male,False,3.4,Humanities,White,730.0,4.0,Consulting,Admit
945,Male,False,3.33,Humanities,Hispanic,690.0,5.0,Technology,Admit
5717,Male,False,3.2,Business,White,680.0,4.0,Financial Services,Reject
43,Male,False,3.38,Humanities,Asian,720.0,5.0,Consulting,Admit
3580,Male,False,3.47,STEM,White,750.0,4.0,PE/VC,Admit
1156,Female,False,3.19,STEM,White,680.0,4.0,Nonprofit/Gov,Reject
5467,Male,False,3.27,Humanities,Asian,690.0,5.0,Media/Entertainment,Admit
1353,Female,False,3.26,Humanities,Other,670.0,4.0,Nonprofit/Gov,Reject
5936,Female,False,3.4,STEM,Asian,690.0,5.0,PE/VC,Admit
4038,Male,False,3.19,Humanities,White,680.0,6.0,Other,Reject
3927,Female,False,3.42,Humanities,Other,730.0,4.0,Health Care,Admit
2121,Female,False,3.14,STEM,Black,650.0,5.0,Technology,Reject
2290,Male,False,3.36,Humanities,White,720.0,6.0,PE/VC,Admit
5629,Male,False,3.39,Humanities,Asian,680.0,6.0,Health Care,Admit
5358,Male,True,3.52,STEM,,780.0,6.0,Technology,Admit
155,Female,False,3.55,Humanities,Asian,680.0,6.0,PE/VC,Admit
2542,Male,False,2.92,Business,Hispanic,600.0,7.0,CPG,Reject
2186,Male,False,3.41,Humanities,Hispanic,730.0,5.0,Investment Banking,Admit
2291,Female,False,3.28,Business,White,670.0,7.0,Technology,Admit
2152,Female,False,3.18,Business,Asian,580.0,5.0,Investment Banking,Reject
2117,Female,True,3.22,STEM,,720.0,7.0,Nonprofit/Gov,Admit
1765,Male,False,2.92,Humanities,Black,610.0,6.0,Investment Banking,Reject
1297,Female,False,3.23,STEM,White,710.0,4.0,Consulting,Admit
2916,Male,False,3.41,STEM,Hispanic,670.0,3.0,PE/VC,Reject
3612,Male,False,3.42,STEM,Black,700.0,5.0,Consulting,Admit
5118,Male,True,3.23,Humanities,,570.0,6.0,Consulting,Reject
5316,Male,True,3.26,Humanities,,660.0,3.0,Other,Reject
4345,Male,False,3.54,Humanities,Other,690.0,6.0,Consulting,Admit
1763,Female,False,3.17,STEM,White,600.0,6.0,Health Care,Reject
4293,Female,False,3.39,STEM,Black,720.0,6.0,Consulting,Admit
302,Male,False,3.36,Business,Asian,720.0,4.0,Technology,Admit
1591,Male,True,3.12,Humanities,,610.0,5.0,Technology,Reject
5050,Male,False,3.54,Humanities,Asian,710.0,6.0,Nonprofit/Gov,Admit
5719,Male,True,2.91,Humanities,,610.0,6.0,Financial Services,Reject
5401,Male,True,3.06,Humanities,,570.0,4.0,CPG,Reject
1822,Female,False,3.21,Humanities,Asian,720.0,6.0,Investment Banking,Admit
5142,Female,False,3.51,STEM,White,730.0,3.0,Financial Services,Admit
4613,Female,True,3.54,STEM,,680.0,6.0,Consulting,Admit
506,Male,True,3.11,STEM,,590.0,5.0,Consulting,Reject
826,Male,True,3.2,STEM,,650.0,5.0,PE/VC,Reject
36,Male,True,3.22,Humanities,,670.0,4.0,Other,Reject
1924,Male,False,3.23,Business,Other,680.0,5.0,Nonprofit/Gov,Admit
1816,Male,True,3.28,STEM,,640.0,6.0,Financial Services,Reject
3886,Male,False,3.68,Humanities,Asian,740.0,5.0,Other,Admit
421,Male,False,3.21,Humanities,Black,700.0,5.0,Nonprofit/Gov,Admit
886,Male,False,3.33,Business,Asian,700.0,5.0,Consulting,Admit
4112,Male,False,2.87,Humanities,White,580.0,6.0,Technology,Reject
4030,Female,False,3.38,Humanities,Asian,700.0,4.0,Financial Services,Admit
621,Male,False,3.25,Business,Other,640.0,5.0,Technology,Reject
77,Male,False,3.18,Humanities,Black,640.0,4.0,PE/VC,Reject
2543,Male,False,3.29,STEM,Black,700.0,6.0,PE/VC,Admit
4320,Male,False,3.28,Humanities,Hispanic,690.0,5.0,PE/VC,Admit
186,Male,True,3.4,Humanities,,690.0,6.0,Other,Admit
4777,Male,False,3.26,STEM,White,590.0,5.0,Real Estate,Reject
5131,Female,False,3.44,Humanities,Asian,730.0,7.0,Technology,Admit
1191,Male,True,3.12,Humanities,,620.0,7.0,Consulting,Reject
5294,Female,False,3.14,Humanities,Asian,600.0,4.0,PE/VC,Reject
4947,Female,False,3.51,Business,Black,680.0,4.0,Consulting,Admit
1360,Female,False,3.43,Humanities,Black,670.0,5.0,Consulting,Admit
1507,Female,False,3.42,Humanities,White,770.0,6.0,Nonprofit/Gov,Admit
5797,Male,False,3.32,STEM,Asian,700.0,5.0,Investment Banking,Admit
3520,Female,False,3.54,Business,Asian,710.0,5.0,Nonprofit/Gov,Admit
3987,Male,True,3.23,Business,,600.0,7.0,Nonprofit/Gov,Reject
4252,Male,False,3.4,Humanities,Asian,680.0,5.0,Health Care,Admit
4840,Male,False,3.4,STEM,Hispanic,720.0,4.0,Consulting,Admit
3593,Male,False,3.37,Humanities,Asian,660.0,4.0,Other,Reject
1984,Male,False,3.33,STEM,White,690.0,7.0,CPG,Admit
4659,Female,False,3.33,Humanities,Asian,680.0,6.0,PE/VC,Admit
3445,Female,False,2.87,STEM,White,610.0,6.0,Nonprofit/Gov,Reject
342,Male,False,3.39,Business,White,730.0,6.0,Investment Banking,Admit
1711,Male,False,3.43,Humanities,Asian,680.0,6.0,CPG,Admit
5550,Female,False,3.57,Business,White,720.0,5.0,Investment Banking,Admit
3198,Female,False,3.01,Humanities,Asian,580.0,6.0,Investment Banking,Reject
3996,Male,False,3.38,Business,White,680.0,4.0,Technology,Admit
2532,Male,False,3.13,Humanities,White,570.0,5.0,PE/VC,Reject
5239,Female,True,3.34,STEM,,680.0,5.0,Other,Reject
2146,Female,False,3.24,Business,Black,700.0,5.0,Health Care,Admit
3611,Male,False,3.45,Humanities,Black,650.0,2.0,Technology,Reject
3225,Male,False,3.42,Humanities,Asian,780.0,5.0,Nonprofit/Gov,Admit
190,Male,True,3.15,Humanities,,650.0,6.0,Consulting,Reject
425,Male,False,3.23,STEM,Black,680.0,5.0,Consulting,Admit
3976,Male,False,3.43,Humanities,White,740.0,5.0,Investment Banking,Admit
2520,Male,False,3.51,Humanities,Other,680.0,5.0,Consulting,Admit
1681,Male,False,3.26,Business,Black,620.0,4.0,PE/VC,Reject
4180,Female,True,3.23,Business,,670.0,5.0,Investment Banking,Admit
6103,Female,True,3.29,STEM,,590.0,4.0,Financial Services,Reject
3940,Female,True,3.27,STEM,,710.0,5.0,Investment Banking,Reject
441,Female,False,3.46,STEM,White,680.0,7.0,PE/VC,Admit
3258,Female,True,3.41,STEM,,680.0,4.0,PE/VC,Reject
3823,Female,False,3.26,STEM,White,750.0,5.0,PE/VC,Admit
144,Male,False,3.1,STEM,Asian,570.0,5.0,Nonprofit/Gov,Reject
1972,Male,False,3.42,STEM,White,730.0,6.0,Consulting,Admit
2666,Male,True,3.24,Business,,590.0,5.0,Nonprofit/Gov,Reject
4021,Female,True,3.21,Humanities,,640.0,4.0,Technology,Reject
4196,Female,False,3.39,Humanities,Asian,730.0,4.0,PE/VC,Admit
4144,Male,False,3.34,Humanities,Asian,670.0,5.0,PE/VC,Admit
3790,Female,False,3.29,Humanities,White,640.0,5.0,PE/VC,Reject
1596,Male,False,3.43,STEM,White,660.0,6.0,Technology,Admit
3378,Male,True,3.55,STEM,,740.0,5.0,PE/VC,Reject
5335,Male,False,3.3,Business,Asian,600.0,6.0,Consulting,Reject
1045,Female,True,3.21,Humanities,,690.0,5.0,PE/VC,Admit
386,Female,False,3.31,STEM,White,620.0,5.0,Investment Banking,Admit
3345,Female,False,3.59,Humanities,White,740.0,5.0,Other,Admit
1891,Male,True,3.15,STEM,,590.0,6.0,Consulting,Reject
1317,Male,False,3.17,Humanities,Hispanic,630.0,4.0,Nonprofit/Gov,Reject
3438,Female,True,3.13,Humanities,,690.0,4.0,Nonprofit/Gov,Reject
2678,Male,True,3.38,STEM,,720.0,4.0,Investment Banking,Admit
4708,Male,False,3.33,Business,Black,740.0,6.0,PE/VC,Admit
2381,Female,False,3.49,Business,Black,680.0,4.0,Technology,Admit
5832,Female,False,3.29,STEM,White,660.0,6.0,Health Care,Admit
54,Female,False,3.23,STEM,Asian,700.0,6.0,PE/VC,Admit
617,Male,True,3.46,Humanities,,680.0,5.0,Technology,Reject
614,Male,False,3.16,STEM,White,650.0,7.0,Consulting,Reject
5916,Female,True,3.23,STEM,,670.0,3.0,PE/VC,Reject
5452,Male,True,3.26,Humanities,,700.0,5.0,Health Care,Reject
